cutoffs,pct_chg,geometry
1.81102362204724,72.3460487906773,"c(-74.953, 40.148)"
2.50011811023622,26.0764781491003,"c(-80.362, 41.017)"
1.59842519685039,19.1165135643977,"c(-76.504, 39.734)"
2.5,13.0965703558775,"c(-75.488, 40.121)"
2.40157480314961,4.90366891397118,"c(-77.738, 41.33)"
1.72047244094488,67.6093137631599,"c(-78.749, 41.42)"
1.7007874015748,42.6886493407423,"c(-79.668, 40.683)"
1.7007874015748,26.765157481881,"c(-76.862, 40.783)"
2,63.4087940406542,"c(-77.867, 40.793)"
1.77165354330709,80.5108664541961,"c(-75.207, 41.015)"
2.38188976377953,75.8566940716303,"c(-76.443, 41.751)"
1.7007874015748,29.7156057994384,"c(-79.719, 39.915)"
1.68511811023621,6.33000395729356,"c(-79.149, 41.847)"
1.59842519685039,20.1087585329168,"c(-75.635, 39.971)"
2.4488188976378,65.893764708848,"c(-76.75, 39.917)"
2.03149606299213,35.987676831016,"c(-71.543, 41.49)"
2.57874015748032,54.2912114340686,"c(-72.599, 43.385)"
1.94094488188976,11.3882351593859,"c(-73.211, 43.957)"
1.7007874015748,56.2027928522122,"c(-72.808, 44.909)"
1.57874015748032,42.4022654221197,"c(-72.978, 43.625)"
1.66141732283465,4.33370820415665,"c(-72.019, 44.42)"
1.56826771653542,66.7146813613522,"c(-72.507, 43.63)"
1.93433070866142,9.0386922978501,"c(-79.368, 39.273)"
1.7007874015748,29.0236123620428,"c(-81.194, 37.765)"
1.82232283464566,9.25659743726978,"c(-80.22, 38.98)"
1.72834645669291,4.72207383248518,"c(-80.352, 39.268)"
1.72047244094488,63.4436060840051,"c(-81.273, 38.963)"
1.83070866141732,56.1678594664931,"c(-80.135, 39.458)"
1.73814960629919,14.902922775591,"c(-80.832, 38.934)"
1.7993307086614,-20.750923094416,"c(-82.184, 38.684)"
1.88188976377953,55.6342159024252,"c(-80.404, 37.857)"
1.80641732283465,4.11643794381647,"c(-81.984, 37.866)"
1.88188976377953,-2.50877295023171,"c(-80.627, 40.526)"
1.72047244094488,19.2428922150946,"c(-79.634, 39.074)"
2.10657480314961,-39.1100626018165,"c(-80.041, 39.146)"
1.7007874015748,38.7330601953987,"c(-78.771, 39.339)"
1.85826771653543,25.9564730820062,"c(-79.67, 39.342)"
1.83401574803148,-1.72681346078692,"c(-81.358, 38.801)"
1.83070866141732,12.4767107627878,"c(-80.534, 37.544)"
1.7007874015748,14.2775537539853,"c(-80.472, 39.044)"
1.7992125984252,23.2316120657411,"c(-80.308, 37.788)"
1.72047244094488,30.8589919907312,"c(-74.424, 39.378)"
2.38377952755905,14.9184533077814,"c(-74.169, 40.683)"
2.4488188976378,28.2907897819773,"c(-72.651, 41.735)"
2.24783464566929,42.8117130018271,"c(-75.989, 40.316)"
2.24015748031496,111.88172777355,"c(-73.969, 40.779)"
